ROI_Image_Label,Yeo_7_Network,Yeo_17_Network,Yeo_7_Network_Sensorimotor,Yeo_7_Network_Cognitive,Yeo_7_Network_PriCognitive,Yeo_17_Network_Sensorimotor,Yeo_17_Network_Cognitive,Yeo_17_Network_PriCognitive
450,4,7,NaN,4,NaN,NaN,7,NaN
451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
452,7,17,NaN,7,7,NaN,17,17
453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
454,6,12,NaN,6,6,NaN,12,12
455,1,1,1,NaN,NaN,1,NaN,NaN
456,2,3,2,NaN,NaN,3,NaN,NaN
457,1,5,1,NaN,NaN,NaN,5,5
458,7,16,NaN,7,7,NaN,16,16
459,1,1,1,NaN,NaN,1,NaN,NaN
460,6,13,NaN,6,6,NaN,13,13
461,4,4,NaN,4,NaN,4,NaN,NaN
462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
463,3,5,NaN,3,3,NaN,5,5
464,2,6,2,NaN,NaN,NaN,6,6
465,7,14,NaN,7,7,14,NaN,NaN
466,1,5,1,NaN,NaN,NaN,5,5
467,6,13,NaN,6,6,NaN,13,13
468,6,13,NaN,6,6,NaN,13,13
469,2,3,2,NaN,NaN,3,NaN,NaN
470,6,12,NaN,6,6,NaN,12,12
471,1,1,1,NaN,NaN,1,NaN,NaN
472,2,4,2,NaN,NaN,4,NaN,NaN
473,7,17,NaN,7,7,NaN,17,17
474,3,5,NaN,3,3,NaN,5,5
475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
476,7,13,NaN,7,7,NaN,13,13
477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
479,7,17,NaN,7,7,NaN,17,17
480,1,1,1,NaN,NaN,1,NaN,NaN
481,3,6,NaN,3,3,NaN,6,6
482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
483,4,7,NaN,4,NaN,NaN,7,NaN
484,1,2,1,NaN,NaN,2,NaN,NaN
485,2,4,2,NaN,NaN,4,NaN,NaN
486,4,7,NaN,4,NaN,NaN,7,NaN
487,3,5,NaN,3,3,NaN,5,5
488,1,15,1,NaN,NaN,NaN,15,15
489,4,8,NaN,4,NaN,NaN,8,NaN
490,7,17,NaN,7,7,NaN,17,17
491,6,12,NaN,6,6,NaN,12,12
492,6,12,NaN,6,6,NaN,12,12
493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
494,1,15,1,NaN,NaN,NaN,15,15
495,3,6,NaN,3,3,NaN,6,6
496,3,5,NaN,3,3,NaN,5,5
497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
498,2,3,2,NaN,NaN,3,NaN,NaN
499,4,7,NaN,4,NaN,NaN,7,NaN
500,1,2,1,NaN,NaN,2,NaN,NaN
501,5,9,NaN,5,NaN,NaN,9,NaN
502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
503,6,12,NaN,6,6,NaN,12,12
504,7,13,NaN,7,7,NaN,13,13
505,1,2,1,NaN,NaN,2,NaN,NaN
